Time (CET/CEST);NO2-NO1;NO2_hydro_river;NO2_hydro_storage;NO1_actual_load
16.01.2022 18:00 - 16.01.2022 19:00;605;798;3893;5261
16.01.2022 19:00 - 16.01.2022 20:00;544;799;3848;5189
16.01.2022 20:00 - 16.01.2022 21:00;387;792;3779;5073
16.01.2022 21:00 - 16.01.2022 22:00;162;783;3569;4907
16.01.2022 22:00 - 16.01.2022 23:00;358;795;3377;4705
16.01.2022 23:00 - 17.01.2022 00:00;628;788;2981;4583
17.01.2022 00:00 - 17.01.2022 01:00;657;785;2670;4412
17.01.2022 01:00 - 17.01.2022 02:00;614;783;2633;4368
17.01.2022 02:00 - 17.01.2022 03:00;458;784;2498;4360
17.01.2022 03:00 - 17.01.2022 04:00;364;772;2537;4373
17.01.2022 04:00 - 17.01.2022 05:00;292;768;2659;4499
17.01.2022 05:00 - 17.01.2022 06:00;524;765;2962;4700
17.01.2022 06:00 - 17.01.2022 07:00;992;766;3618;5199
17.01.2022 07:00 - 17.01.2022 08:00;1182;761;4142;5783
17.01.2022 08:00 - 17.01.2022 09:00;1343;759;4709;6004
17.01.2022 09:00 - 17.01.2022 10:00;1607;758;4717;5972
